votesInFavor,distance,ateFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
0.50,0.5,0,4.922940857,1,1,1.069541111,0.625,0.5,0
0.50,0.0,1,6.01490737,1,6,1.042775258,0.5249999999999999,0.2,1
1.00,0.0,1,5.611492697,2,2,1.553642844,0.7249999999999999,1.0,0
1.00,0.6,0,7.907298796,2,0,0.154468264,0.4,0.7,5
1.00,0.0,1,5.63108651,2,3,2.557037584,0.55,0.7,0
1.00,0.6,1,7.921872582,2,1,1.166375874,0.675,0.4,5
1.00,0.7,1,5.705340566,2,4,3.390070474,0.6249999999999999,0.7,0
1.00,0.7,1,5.709019234,2,5,4.399971218,0.65,0.5,0
1.00,0.0,1,10.965229212,3,3,0.097852466,0.7250000000000001,0.2,2
1.00,0.0,0,10.974070432,3,4,1.108579594,0.6,0.6,2
0.33,0.6,0,15.256935694,3,2,0.887076029,0.47500000000000003,0.6,5
0.33,0.6,1,15.239080509,3,3,1.900869534,0.775,0.9,5
0.33,0.6,1,15.238887806,3,4,2.912855774,0.6000000000000001,0.6,5
0.60,0.5,1,0.594255615,1,0,0.456531034,0.5,0.6,1
0.60,0.5,0,0.578242711,1,1,1.473357216,0.75,0.4,1
1.00,0.9,0,2.416132859,1,0,0.508149323,0.775,0.5,3
0.60,0.5,0,0.592610738,1,2,2.48984532,0.475,0.7,1
0.67,0.0,1,2.339966999,1,0,0.648631289,0.825,0.9,2
1.00,0.9,1,2.409825311,1,1,1.530889048,0.575,0.6,3
0.60,0.5,1,0.562532008,1,3,3.512306217,0.625,0.9,1
0.67,0.0,0,2.326869397,1,1,1.667230149,0.45,0.4,2
1.00,0.0,0,3.62739237,1,2,1.350143327,0.65,0.6,3
0.60,0.5,1,0.599629254,1,4,4.52100259,0.6499999999999999,0.5,1
0.67,0.0,1,2.333776546,1,2,2.676948832,0.475,0.4,2
1.00,0.0,1,3.627533885,1,3,2.353579753,0.475,0.5,3
0.50,0.0,1,3.644606358,1,5,2.432181696,0.5249999999999999,0.6,1
0.50,0.5,1,5.465708676,1,0,0.511054188,0.475,0.4,0
0.50,0.0,0,3.661037324,1,6,3.428699568,0.6,0.4,1
0.50,0.5,0,5.441585978,1,1,1.522533541,0.625,0.5,0
1.00,0.5,1,6.061529901,2,7,2.048866652,0.5499999999999999,0.3,1
1.00,0.5,1,6.06181887,2,8,3.061207837,0.55,0.6,1
0.50,0.7,0,9.492862062,2,2,0.560874459,0.65,0.6,0
1.00,0.6,1,9.28245481,2,0,0.890878365,0.675,0.7,5
1.00,0.0,1,10.648500218,3,3,0.408530771,0.6,0.7,2
0.50,0.7,1,9.497246378,2,3,1.573772255,0.6249999999999999,0.6,0
1.00,0.6,0,9.28614516,2,1,1.890612907,0.4,0.5,5
1.00,0.0,1,10.648531839,3,4,1.424461649,0.7250000000000001,0.5,2
