votesInFavor,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
0.8,0.74582629,1,4.389408962,0.625,0.6,1
1,3.010501769,1,1.998048431,0.65,0.6,4
1,5.519307412,2,0.488242372,0.475,0.5,3
0.5,5.109167387,1,0.889495651,0.625,0.6,1
0.5,4.857865225,1,1.227819343,0.6,0.6,2
1,5.515838033,2,1.499942764,0.475,0.7,3
0.5,5.110708977,1,1.900193324,0.475,0.6,1
1,6.685352706,2,0.395812437,0.5,0.6,2
1,5.458817444,2,2.680220823,0.55,0.7,1
1,6.680908055,2,1.407623396,0.525,0.7,2
1,5.444025125,2,3.691883813,0.725,0.6,1
1,10.525532724,3,0.532272702,0.6,0.2,3
1,10.527517752,3,1.54320759,0.725,0.5,3
1,0.904503945,1,0.096583,0.6,0.8,2
1,0.539166537,1,0.551718314,0.6,0.8,1
0.67,0.647496635,1,0.35666888,0.45,0.6,3
1,0.896070958,1,1.107000375,0.525,0.7,2
1,1.719957872,1,0.230684765,0.475,0.4,5
0.67,0.660200349,1,1.369193885,0.825,0.7,3
1,0.522764744,1,1.586808844,0.625,0.6,1
1,1.716171194,1,1.247031849,0.6,0.7,5
0.67,0.647790195,1,2.383448377,0.475,0.5,3
1,0.54241052,1,2.598078928,0.625,0.4,1
1,3.157727353,1,0.845304247,0.8,0.5,5
1,0.541234413,1,3.609985991,0.675,0.6,1
1,3.165676478,1,1.855941911,0.525,0.6,5
1,0.515867083,1,4.628802609,0.55,0.5,1
0.5,5.446030488,1,0.569170465,0.625,0.6,1
1,6.677260105,2,0.387957469,0.5,0.5,2
0.5,5.456539464,1,1.579886469,0.475,0.6,1
1,6.669410084,2,1.400482733,0.525,0.5,2
1,5.672510432,2,2.493362486,0.55,0.5,1
1,5.664512349,2,3.504510042,0.725,0.7,1
1,6.823562469,2,3.291229448,0.625,0.7,1
1,10.690113031,3,0.415277987,0.6,0.5,3
1,6.838403071,2,4.301988189,0.65,0.7,1
1,10.694508479,3,1.425023363,0.725,0.7,3
1,12.331346599,3,0.826977966,0.55,1,2
1,12.323760542,3,1.839166105,0.55,0.5,2
