votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
0.67,0,1,10.67,3,1.47,0.55,0.5,1
0.67,0,1,10.67,3,2.48,0.55,0.6,1
1,0,1,0.51,1,0.41,0.525,0.2,1
1,0,1,0.67,1,0.33,0.625,0.7,0
1,0,1,0.52,1,1.45,0.6,0.5,1
1,0,1,0.67,1,1.37,0.55,0.6,0
1,0.9,0,2.34,1,0.52,0.775,0.6,3
0.67,0,1,2.26,1,0.68,0.475,0.4,2
1,0,1,0.67,1,2.39,0.6,1,0
1,0.9,0,2.33,1,1.54,0.575,0.5,3
0.67,0,1,2.26,1,1.70,0.825,0.5,2
1,0,1,0.71,1,3.42,0.625,0.4,0
1,0,1,3.79,1,1.10,0.475,0.6,3
0.67,0,1,2.26,1,2.74,0.45,0.1,2
1,0,0,0.68,1,4.45,0.675,0.6,0
1,0,1,3.79,1,2.12,0.65,0.9,3
1,0.9,0,9.39,2,0.65,0.45,0.7,3
1,0.9,1,9.37,2,1.67,0.725,0.5,3
0.67,0.6,0,10.75,3,0.33,0.775,0.8,5
1,0.5,1,3.68,1,7.36,0.475,0.4,0
0.67,0.6,1,10.74,3,1.34,0.475,1,5
1,0.5,1,3.66,1,8.36,0.625,0.6,0
0.67,0.6,1,10.74,3,2.35,0.6,0.7,5
1,0,0,5.76,2,7.49,0.55,0.6,0
1,0,1,5.74,2,8.50,0.725,0.7,0
0.5,0,0,14.57,3,0.50,0.725,0.5,2
1,0.7,1,5.66,2,9.49,0.65,0.6,0
0.5,0,0,14.55,3,1.51,0.6,0.6,2
1,0.7,1,5.66,2,10.50,0.625,0.7,0
1,0,1,0.40,1,0.63,0.6,0.6,0
1,0,0,0.40,1,1.68,0.55,0.5,0
0.67,0,1,2.43,1,0.56,0.825,0.7,2
1,0.9,0,1.94,1,1.00,0.575,0.2,3
1,0,1,0.41,1,2.74,0.625,0.2,0
1,0.9,1,2.00,1,1.97,0.775,0.7,3
0.67,0,1,2.41,1,1.59,0.45,0.4,2
1,0,0,0.43,1,3.76,0.675,0.7,0
0.67,0,1,2.42,1,2.61,0.475,0.7,2
1,0,1,2.63,1,2.37,0.65,0.2,3
0.5,0,1,4.52,1,0.61,0.6,0.7,1
1,0,1,0.44,1,4.74,0.625,0.6,0
1,0,1,2.63,1,3.38,0.475,0.8,3
0.5,0,0,4.50,1,1.62,0.525,0.6,1
1,0,1,5.53,2,0.64,0.725,0.7,0
1,0,1,5.54,2,1.66,0.55,0.6,0
0.5,0.5,1,5.72,1,2.37,0.475,0.5,0
1,0.6,1,9.09,2,0.07,0.4,0.8,5
0.5,0.5,1,5.71,1,3.39,0.625,0.6,0
1,0.6,1,9.10,2,1.08,0.675,0.3,5
1,0,1,10.48,3,0.61,0.725,0.2,2
0.5,0.7,1,10.16,2,1.00,0.625,0.7,0
1,0,1,10.48,3,1.62,0.6,0.7,2
0.67,0,1,11.24,3,0.93,0.325,0.6,1
0.5,0.7,0,10.17,2,2.01,0.65,0.4,0
0.67,0,1,11.24,3,1.94,0.55,0.5,1
0.67,0,0,11.25,3,2.95,0.55,0.8,1
1,0,1,0.60,1,0.42,0.625,0.7,0
1,0,1,1.17,1,0.80,0.525,0.3,1
1,0.9,1,1.75,1,0.14,0.775,0.3,3
1,0,0,0.60,1,1.43,0.55,0.9,0
1,0.9,1,1.74,1,1.18,0.575,0.2,3
1,0,0,1.17,1,1.86,0.6,0.5,1
1,0,1,0.60,1,2.46,0.625,0.6,0
1,0.9,1,2.70,1,0.28,0.525,0.5,4
0.67,0.5,1,1.88,1,2.13,0.55,0.7,1
1,0,1,0.60,1,3.47,0.6,0.5,0
1,0.9,1,2.69,1,1.35,0.8,0.6,4
0.67,0.5,0,1.87,1,3.17,0.425,0.7,1
1,0,0,0.61,1,4.55,0.675,0.7,0
0.67,0.5,1,1.87,1,4.18,0.8,1,1
0.5,0.5,1,4.17,1,1.86,0.625,0.5,0
0.5,0.5,1,4.22,1,2.82,0.475,0.5,0
1,0,1,5.67,2,2.50,0.725,0.6,0
1,0,0,5.67,2,3.51,0.55,0.2,0
1,0.9,1,9.40,2,0.69,0.45,0.6,3
1,0.7,1,5.98,2,4.14,0.65,0.5,0
1,0.9,0,9.40,2,1.71,0.725,0.5,3
1,0.7,1,5.97,2,5.16,0.625,0.4,0
0.33,0.6,1,14.24,3,0.94,0.475,0.6,5
0.33,0.6,0,14.22,3,1.95,0.6,0.5,5
0.33,0.6,1,14.24,3,2.97,0.775,0.2,5
0.6,0.5,1,0.95,1,0.05,0.65,0.7,1
1,0,0,0.61,1,0.40,0.6,0.7,1
0.6,0.5,1,0.98,1,1.08,0.5,0.5,1
1,0,1,0.61,1,1.41,0.525,0.5,1
0.6,0.5,1,0.95,1,2.09,0.475,0.5,1
1,0,1,2.33,1,0.58,0.475,0.5,4
1,0,1,2.51,1,0.42,0.65,0.6,3
0.6,0.5,1,0.94,1,2.16,0.625,0.6,1
1,0,1,2.50,1,1.43,0.475,1,3
1,0,0,2.32,1,1.59,0.6,0.5,4
1,0,1,6.01,2,0.10,0.725,0.4,0
1,0,1,6.01,2,1.10,0.55,0.4,0
0.6,0.5,1,0.94,1,6.30,0.75,0.6,1
0.5,0.5,1,6.39,1,1.57,0.625,0.6,0
0.67,0.5,1,1.32,1,6.84,0.425,0.5,1
0.5,0.5,1,6.40,1,2.58,0.475,0.3,0
0.67,0.5,0,1.29,1,7.85,0.8,0.9,1
0.5,0.7,1,8.43,2,1.61,0.65,0.5,0
0.67,0.5,1,1.34,1,8.86,0.55,0.5,1
1,0,0,10.66,3,0.37,0.725,0.4,2
0.5,0.7,1,8.41,2,2.62,0.625,0.5,0
1,0,0,7.08,2,4.15,0.525,0.5,1
1,0,1,10.66,3,1.38,0.6,0.2,2
1,0,1,7.11,2,5.16,0.5,0.5,1
1,0,1,12.53,3,0.72,0.325,0.6,1
1,0,1,12.55,3,1.74,0.55,0.5,1
1,0,1,12.52,3,2.75,0.55,0.4,1
1,0,1,0.46,1,0.56,0.6,0.5,0
1,0,0,1.42,1,0.46,0.6,0.5,4
1,0,1,0.49,1,1.62,0.675,0.9,0
1,0,1,1.15,1,0.91,0.6,0.4,1
1,0,0,1.43,1,1.48,0.475,0.5,4
1,0,0,1.14,1,1.93,0.525,0.9,1
1,0,0,0.49,1,2.67,0.625,0.5,0
0.67,0,1,3.04,1,0.92,0.475,0.5,2
1,0.9,0,2.75,1,1.28,0.525,0.5,4
1,0,0,0.45,1,3.71,0.55,0.5,0
0.67,0,0,3.03,1,1.94,0.45,0.2,2
1,0.9,1,2.74,1,2.27,0.8,0.7,4
1,0,1,0.46,1,4.70,0.625,0.6,0
0.67,0,1,3.04,1,2.96,0.825,0.7,2
1,0.5,1,4.06,1,1.89,0.625,0.5,0
1,0,0,6.19,2,0.90,0.525,0.7,1
1,0.5,1,4.08,1,2.90,0.475,0.5,0
1,0,1,6.20,2,1.91,0.5,0.6,1
1,0,0,5.62,2,2.57,0.55,0.9,0
1,0,1,5.59,2,3.58,0.725,0.4,0
1,0.7,0,6.07,2,4.03,0.65,0.6,0
1,0,0,10.81,3,0.22,0.725,0.6,2
1,0.7,1,6.07,2,5.04,0.625,0.7,0
1,0,1,10.80,3,1.23,0.6,0.5,2
0.67,0,1,11.22,3,0.91,0.55,0.4,1
0.67,0,1,11.22,3,1.93,0.325,0.6,1
0.67,0,1,11.23,3,2.94,0.55,0.6,1
1,0,1,0.95,1,0.07,0.6,0.5,0
1,0,0,1.26,1,0.71,0.525,0.6,1
1,0,1,0.93,1,1.09,0.55,0.6,0
1,0,1,0.96,1,2.10,0.625,0.8,0
1,0,0,1.26,1,1.73,0.6,0.6,1
1,0.9,0,2.83,1,0.11,0.8,0.6,4
1,0,1,0.97,1,3.11,0.675,0.9,0
1,0.9,1,2.83,1,1.22,0.525,0.2,4
1,0,0,0.94,1,4.13,0.625,0.6,0
0.67,0.7,0,1.80,1,4.23,0.325,0.9,0
0.67,0.7,1,1.78,1,5.25,0.475,0.6,0
0.5,0,1,6.03,1,0.97,0.6,0.7,4
0.67,0.7,0,1.78,1,6.26,0.65,0.5,0
0.5,0,0,6.06,1,1.98,0.475,0.7,4
0.5,0.5,0,4.84,1,4.15,0.475,0.6,0
1,0.6,1,8.65,2,0.46,0.4,0.5,5
0.5,0.5,1,4.84,1,5.16,0.625,0.6,0
1,0.6,1,8.66,2,1.47,0.675,0.7,5
1,0,1,5.70,2,5.45,0.55,0.5,0
0.67,0.6,1,10.90,3,0.22,0.6,0.6,5
1,0,1,10.71,3,0.42,0.725,0.7,2
1,0,1,5.73,2,6.42,0.725,0.7,0
0.67,0.6,1,10.90,3,1.23,0.775,0.4,5
1,0,0,10.71,3,1.43,0.6,0.1,2
0.5,0.7,0,9.78,2,3.31,0.625,0.5,0
0.67,0.6,0,10.91,3,2.24,0.475,0.7,5
0.5,0.7,0,9.78,2,4.32,0.65,0.5,0
1,0,1,0.65,1,0.38,0.675,0.4,0
1,0.9,1,1.39,1,0.47,0.575,0.6,3
1,0,1,0.60,1,1.39,0.55,0.4,0
1,0,1,1.34,1,0.63,0.525,0.5,1
1,0.9,1,1.39,1,1.48,0.775,0.2,3
1,0,1,0.63,1,2.41,0.6,0.9,0
1,0,1,1.35,1,1.64,0.6,0.5,1
1,0.9,1,3.24,1,0.67,0.525,0.8,4
1,0,1,0.66,1,3.42,0.625,0.6,0
0.67,0.5,0,1.54,1,2.42,0.55,0.2,1
0.67,0.5,1,1.52,1,3.44,0.8,0.7,1
1,0,1,0.63,1,4.48,0.625,0.5,0
1,0.9,0,3.24,1,1.75,0.8,0.5,4
0.67,0.5,1,1.54,1,4.45,0.425,0.7,1
0.5,0.5,1,4.50,1,1.44,0.475,0.2,0
0.5,0.5,1,4.50,1,2.45,0.625,0.6,0
1,0,0,5.82,2,2.26,0.725,0.5,0
1,0,0,5.83,2,3.27,0.55,0.6,0
1,0,0,10.95,3,0.05,0.6,0.3,2
0.67,0,1,10.97,3,0.09,0.55,0.7,1
0.5,0.7,1,10.24,2,0.78,0.625,0.5,0
1,0.9,1,10.35,2,0.79,0.45,0.5,3
1,0,1,10.95,3,1.07,0.725,0.4,2
0.67,0,1,10.98,3,1.10,0.55,0.5,1
0.5,0.7,1,10.27,2,1.82,0.65,0.4,0
1,0.9,0,10.32,2,1.80,0.725,0.5,3
1,0,1,0.90,1,0.10,0.525,0.2,1
0.8,0,1,0.47,1,0.59,0.625,0.8,0
1,0,0,0.91,1,1.11,0.6,0.7,1
0.8,0,1,0.47,1,1.63,0.625,0.5,0
0.67,0,1,2.45,1,0.51,0.825,0.5,2
1,0,1,1.96,1,1.02,0.475,0.6,4
0.8,0,1,0.47,1,2.67,0.6,0.7,0
0.67,0,0,2.44,1,1.52,0.475,0.8,2
