distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,3.724510473,0.6,0.5,0
0,1,0.811971854,0.8,0.6,4
0,1,4.735041831,0.675,0.9,0
0,1,1.821550518,0.525,0.5,4
0,1,1.931242102,0.475,0.4,0
0,2,0.361181703,0.475,0.7,2
50,1,0.566175104,0.6,0.5,1
0,1,2.942444144,0.625,0.4,0
0,2,1.374418302,0.475,0.5,2
50,1,1.576253786,0.525,0.4,1
0,2,2.802308733,0.725,0.7,0
0,2,3.81419695,0.55,0.7,0
0,2,0.642870461,0.725,0.5,3
0,3,0.854947111,0.725,0.6,2
0,2,1.65396233,0.45,0.3,3
0,3,1.866821884,0.6,0.3,2
67,3,0.314386319,0.475,0.2,5
67,3,1.326226608,0.6,0.6,5
67,3,2.336031171,0.775,0.9,5
0,1,0.755022391,0.675,0.6,0
0,1,0.202309493,0.525,0.6,1
0,1,1.766031265,0.625,0.2,0
0,1,1.213487573,0.6,0.4,1
0,1,0.166209121,0.575,0.6,3
67,1,0.109737758,0.45,0.6,2
0,1,2.778178695,0.625,0.6,0
0,1,1.177037391,0.775,0.2,3
67,1,1.120798649,0.475,0.6,2
0,1,3.791313887,0.55,0.7,0
0,1,1.758990974,0.475,0.5,3
67,1,2.133927121,0.825,0.5,2
0,1,4.805454376,0.6,0.6,0
0,1,2.773295701,0.65,0.6,3
0,1,2.633160875,0.625,0.4,0
0,1,3.646471994,0.475,0.4,0
0,2,1.987093045,0.725,0.7,0
0,2,2.99730148,0.55,0.5,0
0,2,0.946647687,0.45,0.6,3
50,2,0.090950987,0.65,0.9,0
0,2,1.959886331,0.725,0.4,3
0,3,0.668702489,0.725,0.3,2
50,2,1.102349998,0.625,0.5,0
0,3,0.262426225,0.55,0.8,1
0,3,1.681956038,0.6,0.8,2
0,3,1.274287847,0.325,0.6,1
0,3,2.286600391,0.55,0.4,1
