distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,3.415832554,0.625,0.4,0
0,1,1.104035913,0.475,0.6,3
0,1,2.738958074,0.45,0.1,2
0,1,4.453518306,0.675,0.6,0
0,1,2.116428984,0.65,0.9,3
0.9,2,0.650848478,0.45,0.7,3
0.9,2,1.667426508,0.725,0.5,3
0.6,3,0.327472616,0.775,0.8,5
0.5,1,7.357955418,0.475,0.4,0
0.6,3,1.340368991,0.475,1,5
0.5,1,8.362661984,0.625,0.6,0
0.6,3,2.353931212,0.6,0.7,5
0,2,7.485588823,0.55,0.6,0
0,2,8.496290698,0.725,0.7,0
0,3,0.50479917,0.725,0.5,2
0.7,2,9.488255135,0.65,0.6,0
0,3,1.514653282,0.6,0.6,2
0.7,2,10.497847233,0.625,0.7,0
0,1,0.629317517,0.6,0.6,0
0,1,1.682719745,0.55,0.5,0
0,1,0.558841376,0.825,0.7,2
0.9,1,1.003625857,0.575,0.2,3
0,1,2.735300018,0.625,0.2,0
0.9,1,1.973961495,0.775,0.7,3
0,1,1.590574911,0.45,0.4,2
0,1,3.759350722,0.675,0.7,0
0,1,2.608211493,0.475,0.7,2
0,1,2.368971891,0.65,0.2,3
0,1,0.612844247,0.6,0.7,1
0,1,4.735414133,0.625,0.6,0
0,1,3.375424284,0.475,0.8,3
0,1,1.624608346,0.525,0.6,1
0,2,0.63913518,0.725,0.7,0
0,2,1.661969793,0.55,0.6,0
0.5,1,2.374065486,0.475,0.5,0
0.6,2,0.072342018,0.4,0.8,5
0.5,1,3.39221886,0.625,0.6,0
0.6,2,1.084069421,0.675,0.3,5
0,3,0.61044707,0.725,0.2,2
0.7,2,1.000091242,0.625,0.7,0
0,3,1.62107992,0.6,0.7,2
0,3,0.931615424,0.325,0.6,1
0.7,2,2.009216122,0.65,0.4,0
0,3,1.941659161,0.55,0.5,1
0,3,2.952410477,0.55,0.8,1
0,1,0.420207084,0.625,0.7,0
0,1,0.803162056,0.525,0.3,1
0.9,1,0.137698291,0.775,0.3,3
