votesInFavor,distance,ateFavoriteDish,endTime,canteenTime,pastExperience,canteenExperience,canteen
1.00,0.0,0,2.05539222,1.799607935,0.625,0.5,1
0.67,0.0,1,1.984856935,1.531775637,0.825,0.7,3
1.00,0.0,0,2.049416539,1.060510506,0.6,0.6,2
1.00,0.0,1,1.943487133,0.070621628,0.6,0.4,5
1.00,0.0,1,3.065664472,2.810411357,0.675,0.3,1
0.67,0.0,1,2.982021358,2.543452474,0.45,0.6,3
1.00,0.0,1,2.967465712,1.082494035,0.47500000000000003,0.5,5
1.00,0.0,0,4.067683074,3.824368337,0.5499999999999999,0.5,1
1.00,0.9,0,3.981144568,0.930852026,0.8,0.7,5
1.00,0.0,1,5.101600691,4.852297515,0.6,0.7,1
1.00,0.9,1,4.99975004,1.936918745,0.5249999999999999,0.5,5
1.00,0.0,0,6.099086848,0.606705631,0.55,0.8,1
1.00,0.0,1,7.103313098,1.619581242,0.7249999999999999,0.6,1
0.50,0.5,1,7.963910864,2.615001345,0.625,0.5,1
0.50,0.5,1,8.999471156,3.590429455,0.475,0.7,1
1.00,0.6,1,10.168206874,0.947527643,0.675,0.5,6
1.00,0.0,1,11.045703474,0.414554199,0.6,0.5,3
0.50,0.7,0,11.08026902,0.13701249,0.65,0.5,1
0.67,0.0,0,11.135913286,0.745124984,0.55,0.7,2
1.00,0.6,1,11.176372503,1.961076165,0.4,0.5,6
1.00,0.0,1,12.063232324,1.421813842,0.7250000000000001,0.7,3
0.50,0.7,1,12.077446434,1.148444528,0.6249999999999999,0.5,1
0.67,0.0,1,12.153134189,1.754679941,0.55,0.5,2
0.67,0.0,1,13.157366376,2.765812457,0.32499999999999996,0.8,2
0.60,0.0,1,1.035461829,0.720307584,0.5499999999999999,0.6,1
0.60,0.0,1,2.106332001,1.77485303,0.625,0.7,1
0.67,0.0,1,2.074792508,0.03689177,0.825,0.6,3
0.60,0.0,1,3.119264835,2.788181726,0.675,0.5,1
1.00,0.0,0,3.020969215,0.927174101,0.6,0.5,5
0.67,0.0,1,3.071563019,1.053776546,0.45,0.6,3
1.00,0.0,1,4.012485762,0.962052643,0.475,0.7,4
0.60,0.0,0,4.129363737,3.799603577,0.6,0.5,1
0.67,0.0,1,4.09449336,2.063246612,0.475,0.7,3
1.00,0.0,1,4.041789482,1.945139734,0.47500000000000003,0.9,5
1.00,0.0,1,5.02911907,1.973641889,0.65,0.5,4
0.60,0.0,0,5.136013169,4.800175108,0.625,0.6,1
0.50,0.0,1,6.112240472,0.086566973,0.5249999999999999,0.5,2
1.00,0.5,0,6.062728376,1.782403307,0.475,0.3,1
1.00,0.0,1,6.099316818,0.523816515,0.475,0.7,3
0.50,0.0,0,7.128316745,1.101588365,0.6,0.2,2
1.00,0.5,0,7.067620408,2.788229776,0.625,0.5,1
1.00,0.0,1,7.108937135,1.535126525,0.475,0.5,3
1.00,0.0,0,8.176073497,2.616746351,0.7249999999999999,0.6,1
1.00,0.0,1,9.185714385,3.626850946,0.55,0.7,1
1.00,0.9,1,11.169230727,0.610624689,0.725,0.5,4
1.00,0.9,1,12.183617139,1.622379626,0.44999999999999996,0.4,4
1.00,0.0,1,12.166133455,0.947267152,0.7250000000000001,0.4,3
1.00,0.0,1,13.172350448,1.95788774,0.6,0.4,3
0.33,0.6,1,16.266490946,0.216204918,0.6000000000000001,0.7,6
0.33,0.6,1,17.279120112,1.227443423,0.47500000000000003,0.8,6
0.33,0.6,1,18.288244041,2.237662418,0.775,0.4,6
1.00,0.0,0,0.998971782,0.296062617,0.5249999999999999,0.5,2
0.80,0.0,0,1.0280299,0.67201149,0.625,0.6,1
0.67,0.0,0,0.956040728,0.485055708,0.45,0.7,3
1.00,0.9,0,1.939527148,0.562138761,0.775,0.6,4
1.00,0.0,0,2.037240401,1.330720067,0.6,0.5,2
0.80,0.0,0,2.050209127,1.701205455,0.5499999999999999,0.5,1
0.67,0.0,1,1.999259192,1.514016443,0.475,1.0,3
1.00,0.9,1,2.9410451,1.574817645,0.575,0.5,4
0.80,0.0,1,3.071617421,2.714009572,0.675,0.5,1
0.67,0.0,0,3.018476832,2.51769084,0.825,0.2,3
0.80,0.0,1,4.080536448,3.725207245,0.6,0.7,1
1.00,0.0,1,3.974153274,2.133190477,0.475,0.5,4
0.80,0.0,1,5.093319138,4.738159286,0.625,0.8,1
1.00,0.0,1,4.985132823,3.144237604,0.65,0.6,4
1.00,0.5,1,5.981216701,2.773395986,0.475,0.5,1
1.00,0.5,1,6.986735078,3.782638741,0.625,0.4,1
1.00,0.0,1,8.109545238,2.453551984,0.7249999999999999,0.5,1
1.00,0.0,1,8.081407826,0.994792827,0.475,0.4,3
1.00,0.0,1,9.129344777,3.463781981,0.55,0.6,1
1.00,0.0,1,9.08966204,2.007433565,0.475,0.7,3
1.00,0.0,1,11.101734537,0.545829925,0.7250000000000001,0.7,3
1.00,0.0,0,12.11617548,1.561600092,0.6,0.5,3
1.00,0.0,1,13.120503957,0.173451597,0.32499999999999996,0.7,2
1.00,0.0,1,14.158058596,1.18478397,0.55,0.5,2
1.00,0.0,0,15.144072655,2.196910172,0.55,0.4,2
1.00,0.0,1,1.056010575,0.708011516,0.675,0.8,1
0.67,0.5,1,1.997472348,0.53614988,0.5499999999999999,0.4,2
1.00,0.9,0,1.932431683,0.328892552,0.575,0.7,4
1.00,0.0,1,2.097645259,1.749826043,0.6,0.5,1
0.67,0.5,1,2.999191336,1.552987744,0.8,0.6,2
1.00,0.9,1,2.988193956,1.369373927,0.775,0.7,4
1.00,0.0,1,3.102417694,2.762837945,0.5499999999999999,0.5,1
0.67,0.5,1,4.019804706,2.557830516,0.42500000000000004,0.8,2
1.00,0.0,0,4.032619022,1.252478552,0.475,0.6,4
1.00,0.0,1,4.152241652,3.803430852,0.625,0.7,1
0.50,0.0,1,5.081243346,0.263500916,0.5249999999999999,0.8,2
1.00,0.0,0,5.041851013,2.26247302,0.65,0.1,4
1.00,0.0,1,5.144247354,4.780204082,0.625,0.6,1
0.50,0.0,0,6.09710595,1.274726133,0.6,0.7,2
1.00,0.5,0,6.027150849,2.139485026,0.475,0.9,1
