votesInFavor,distance,hasFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
0.67,0.0,1,1.75,1,2,2.29,0.83,0.7,2
1.00,0.0,1,3.23,1,0,0.75,0.60,0.4,4
1.00,0.0,1,4.15,1,0,0.81,0.48,0.2,3
1.00,0.0,1,0.47,1,4,4.66,0.68,0.7,0
1.00,0.0,0,3.24,1,1,1.77,0.48,1.0,4
1.00,0.0,0,4.17,1,1,1.83,0.65,0.6,3
1.00,0.5,1,3.51,1,2,2.49,0.48,1.0,0
1.00,0.5,1,3.51,1,3,3.50,0.63,0.5,0
1.00,0.0,0,6.16,2,0,0.96,0.50,0.7,1
1.00,0.0,0,5.98,2,2,2.16,0.55,0.6,0
1.00,0.0,1,6.15,2,1,1.97,0.53,0.9,1
1.00,0.0,0,5.96,2,3,3.18,0.72,0.4,0
0.50,0.7,1,10.19,2,0,0.90,0.62,0.6,0
0.67,0.0,0,10.57,3,0,0.57,0.55,0.5,1
1.00,0.0,0,11.70,3,0,0.40,0.60,0.6,2
0.67,0.0,0,10.56,3,1,1.59,0.32,0.6,1
0.50,0.7,1,10.20,2,1,1.91,0.65,0.6,0
1.00,0.0,1,11.72,3,1,1.41,0.73,0.4,2
0.67,0.0,1,10.58,3,2,2.60,0.55,0.7,1
1.00,0.0,1,0.60,1,0,0.41,0.60,0.5,1
1.00,0.0,1,0.58,1,1,1.45,0.52,0.5,1
1.00,0.0,0,1.08,1,0,0.98,0.55,0.6,0
1.00,0.0,1,1.95,1,0,0.03,0.48,0.4,4
0.67,0.5,1,1.47,1,1,1.54,0.55,0.9,1
1.00,0.0,1,1.08,1,1,1.99,0.68,0.5,0
1.00,0.0,1,1.92,1,1,1.04,0.60,0.6,4
0.67,0.5,1,1.44,1,2,2.56,0.80,0.6,1
1.00,0.0,1,1.09,1,2,3.07,0.60,0.5,0
1.00,0.0,1,3.10,1,0,0.97,0.48,0.6,3
